,Country,LOCATION,TIME,Value,MEASURE,SUBJECT,INDICATOR
694,Frstria,FRA,2002,4.612902271,PC_GDP,Economic Affairs,GGEXP
1750,Hustria,HUN,2002,2.268432135,PC_GDP,Pub Order & Safety,GGEXP
4098,Esstria,EST,2002,1.349117704,PC_GDP,Defence,GGEXP
2248,Bestria,BEL,2002,4.7402819119999995,PC_GDP,Economic Affairs,GGEXP
4997,Swstria,SWE,2002,21.99528721,PC_GDP,Social Protection,GGEXP
3155,Nostria,NOR,2002,1.400553226,PC_GDP,RECULTREL,GGEXP
4116,Svstria,SVN,2002,6.421991345,PC_GDP,Education,GGEXP
4267,Nlstria,NLD,2002,5.079648878,PC_GDP,Economic Affairs,GGEXP
3702,Prstria,PRT,2002,1.338353522,PC_GDP,RECULTREL,GGEXP
5148,Bestria,BEL,2002,5.78966456,PC_GDP,Education,GGEXP
712,Austria,AUT,2002,8.150140944,PC_GDP,Gen Pub Services,GGEXP
3635,Svstria,SVN,2002,4.738750082,PC_GDP,Economic Affairs,GGEXP
980,Fistria,FIN,2002,6.995945746,PC_GDP,Gen Pub Services,GGEXP
3004,Nlstria,NLD,2002,1.66760786,PC_GDP,Pub Order & Safety,GGEXP
2684,Usstria,USA,2002,7.0785425360000005,PC_GDP,Social Protection,GGEXP
5184,Dnstria,DNK,2002,0.5512415589999999,PC_GDP,Housing,GGEXP
5202,Austria,AUT,2002,0.52088511,PC_GDP,Housing,GGEXP
3173,Svstria,SVK,2002,6.326095982999999,PC_GDP,Economic Affairs,GGEXP
4965,Dnstria,DNK,2002,0.681145667,PC_GDP,ENVPROT,GGEXP
4303,Austria,AUT,2002,7.30478926,PC_GDP,Health,GGEXP
1016,Svstria,SVN,2002,0.563090447,PC_GDP,Housing,GGEXP
3040,Nostria,NOR,2002,0.544577733,PC_GDP,ENVPROT,GGEXP
998,Grstria,GRC,2002,5.967792971000001,PC_GDP,Health,GGEXP
640,Dnstria,DNK,2002,6.575899116,PC_GDP,Education,GGEXP
2612,Nlstria,NLD,2002,6.40822769,PC_GDP,Gen Pub Services,GGEXP
2367,Svstria,SVN,2002,6.719376141000001,PC_GDP,Health,GGEXP
894,Swstria,SWE,2002,1.325394565,PC_GDP,Pub Order & Safety,GGEXP
658,Esstria,EST,2002,2.2472519330000003,PC_GDP,RECULTREL,GGEXP
2230,Chstria,CHE,2002,1.107901295,PC_GDP,Defence,GGEXP
2986,Usstria,USA,2002,3.7666235869999998,PC_GDP,Economic Affairs,GGEXP
3727,Postria,POL,2002,6.0361353929999995,PC_GDP,Gen Pub Services,GGEXP
1768,Esstria,EST,2002,6.516902847999999,PC_GDP,Education,GGEXP
4249,Isstria,ISR,2002,0.529659952,PC_GDP,Housing,GGEXP
962,Hustria,HUN,2002,9.670227573,PC_GDP,Gen Pub Services,GGEXP
5112,Destria,DEU,2002,6.673611996,PC_GDP,Gen Pub Services,GGEXP
5058,Austria,AUT,2002,0.489381403,PC_GDP,ENVPROT,GGEXP
4195,Fistria,FIN,2002,6.195196854,PC_GDP,Health,GGEXP
2302,Svstria,SVK,2002,5.790219531,PC_GDP,Health,GGEXP
5094,Esstria,EST,2002,0.36027575,PC_GDP,Housing,GGEXP
1682,Usstria,USA,2002,0.0,PC_GDP,ENVPROT,GGEXP
3022,Prstria,PRT,2002,13.40425716,PC_GDP,Social Protection,GGEXP
1700,Prstria,PRT,2002,6.5586814470000006,PC_GDP,Health,GGEXP
912,Gbstria,GBR,2002,3.67369085,PC_GDP,Gen Pub Services,GGEXP
776,Svstria,SVK,2002,1.088576059,PC_GDP,RECULTREL,GGEXP
4177,Hustria,HUN,2002,5.448495482,PC_GDP,Health,GGEXP
2648,Nostria,NOR,2002,4.903697953,PC_GDP,Economic Affairs,GGEXP
3101,Chstria,CHE,2002,0.848756877,PC_GDP,RECULTREL,GGEXP
3685,Lustria,LUX,2002,5.161366473,PC_GDP,Gen Pub Services,GGEXP
1646,Nlstria,NLD,2002,1.4780389390000002,PC_GDP,RECULTREL,GGEXP
4213,Gbstria,GBR,2002,5.631273617000001,PC_GDP,Health,GGEXP
4159,Usstria,USA,2002,3.429380625,PC_GDP,Defence,GGEXP
4141,Nostria,NOR,2002,17.6969506,PC_GDP,Social Protection,GGEXP
2266,Itstria,ITA,2002,6.247246361,PC_GDP,Health,GGEXP
1732,Itstria,ITA,2002,0.671012056,PC_GDP,Housing,GGEXP
5015,Prstria,PRT,2002,1.8241895719999999,PC_GDP,Pub Order & Safety,GGEXP
